Date,HRMS (day)
1982.854,110.024
1982.856,108.883
1982.859,108.962
1982.862,109.788
1982.865,110.182
1982.867,110.413
1982.870,110.243
1982.873,109.677
1982.875,109.532
1982.878,109.638
1982.881,110.294
1982.884,111.024
1982.886,111.195
1982.889,111.59
1982.892,111.744
1982.895,111.223
1982.897,108.403
1982.900,106.05
1982.903,109.332
1982.906,110.243
1982.908,109.848
1982.911,110.162
1982.914,109.679
1982.916,108.552
1982.919,108.312
1982.922,108.215
1982.925,110.483
1982.927,111.549
1982.930,111.028
1982.933,109.259
1982.936,109.744
1982.938,109.426
1982.941,107.971
1982.944,105.765
1982.947,105.341
1982.949,106.069
1982.952,106.579
1982.955,106.655
1982.957,107.375
1982.960,108.146
1982.963,105.904
1982.966,106.03
1982.968,105.45
1982.971,106.572
1982.974,107.25
1982.977,107.487
1982.979,110.142
1982.982,110.26
1982.985,109.612
1982.988,109.061
1982.990,106.552
1982.993,106.828
1982.996,107.666
1982.999,109.041
1983.001,108.382
1983.004,108.7
1983.007,108.67
1983.010,108.986
1983.012,109.15
1983.015,109.441
1983.018,109.238
1983.021,109.531
1983.023,109.89
1983.026,106.074
1983.029,106.89
1983.032,107.722
1983.034,108.477
1983.037,109.271
1983.040,110.183
1983.042,109.919
1983.045,110.113
1983.048,110.412
1983.051,110.282
1983.053,110.164
1983.056,110.405
1983.059,110.97
1983.062,110.999
1983.064,111.006
1983.067,111.135
1983.070,111.929
1983.073,112.14
1983.075,112.422
1983.078,112.233
1983.081,111.277
1983.084,110.558
1983.086,110.736
1983.089,111.16
1983.092,111.66
1983.095,111.591
1983.097,107.199
1983.100,107.229
1983.103,108.965
1983.106,109.473
1983.108,110.333
1983.111,111.308
1983.114,111.493
1983.117,112.203
1983.119,112.634
1983.122,111.951
1983.125,111.638
1983.127,111.051
1983.130,111.293
1983.133,111.715
1983.136,111.998
1983.138,112.638
1983.141,113.125
1983.144,113.16
1983.147,113.112
1983.149,113.573
1983.152,113.786
1983.155,113.593
1983.158,113.642
1983.160,113.271
1983.163,111.641
1983.166,114.309
1983.169,113.15
1983.172,112.071
1983.174,111.441
1983.177,112.167
1983.180,112.834
1983.183,113.12
1983.185,113.272
1983.188,112.75
1983.191,112.235
1983.194,112.677
1983.196,112.439
1983.199,112.558
1983.202,112.565
1983.204,112.59
1983.207,112.833
1983.210,113.494
1983.213,113.902
1983.215,113.711
1983.218,113.811
1983.221,113.89
1983.224,113.752
1983.226,113.72
1983.229,114.978
1983.232,113.258
1983.235,113.384
1983.237,114.502
1983.240,114.743
1983.243,114.693
1983.246,114.414
1983.248,114.238
1983.251,114.273
1983.254,114.245
1983.257,114.793
1983.259,114.778
1983.262,115.12
1983.265,114.205
1983.268,113.825
1983.270,113.578
1983.273,113.537
1983.276,113.906
1983.279,113.894
1983.281,113.48
1983.284,112.719
1983.287,112.815
1983.289,113.629
1983.292,113.753
1983.295,113.705
1983.298,114.156
1983.300,114.265
1983.303,113.938
1983.306,113.883
1983.309,113.559
1983.311,112.606
1983.314,111.611
1983.317,111.257
1983.320,111.432
1983.322,112.009
1983.325,111.429
1983.328,111.495
1983.330,111.787
1983.333,111.433
1983.336,110.998
1983.339,111.443
1983.341,111.576
1983.344,111.616
1983.347,111.741
1983.350,111.426
1983.352,111.359
1983.355,111.612
1983.358,111.334
1983.361,109.832
1983.363,109.77
1983.366,109.532
1983.369,108.974
1983.371,109.493
1983.374,108.879
1983.377,108.137
1983.380,109.516
1983.382,110.709
1983.385,111.024
1983.388,109.506
1983.391,109.802
1983.393,109.79
1983.396,109.5
1983.399,109.288
1983.402,109.363
1983.404,109.781
1983.407,110.88
1983.410,111.368
1983.413,111.492
1983.415,111.585
1983.418,111.206
1983.421,111.091
1983.424,111.101
1983.426,111.405
1983.429,112.088
1983.432,112.699
1983.435,112.976
1983.437,112.663
1983.440,111.627
1983.443,111.337
1983.446,111.419
1983.448,111.123
1983.451,111.587
1983.454,111.987
1983.456,112.356
1983.459,112.954
1983.462,113.122
1983.465,112.515
1983.467,112.694
1983.470,112.83
1983.473,112.111
1983.476,112.667
1983.478,112.636
1983.481,112.778
1983.484,112.108
1983.487,111.533
1983.489,111.943
1983.492,111.682
1983.497,112.603
1983.500,112.507
1983.503,113.072
1983.506,113.235
1983.508,113.862
1983.511,113.631
1983.514,114.002
1983.517,114.037
1983.519,113.953
1983.522,114.16
1983.525,114.304
1983.528,114.402
1983.530,114.315
1983.533,114.238
1983.536,114.515
1983.538,114.711
1983.541,114.773
1983.544,113.872
1983.547,113.4
1983.549,113.221
1983.552,113.334
1983.555,113.993
1983.558,113.478
1983.560,113.487
1983.563,113.392
1983.566,113.953
1983.569,114.206
1983.571,114.259
1983.574,114.326
1983.577,114.456
1983.580,114.597
1983.582,115.125
1983.585,114.672
1983.588,113.373
1983.591,113.556
1983.593,113.484
1983.596,112.928
1983.599,112.725
1983.602,112.689
1983.604,112.417
1983.607,112.269
1983.610,112.147
1983.613,113.182
1983.615,113.928
1983.618,113.708
1983.621,112.815
1983.623,112.308
1983.626,112.295
1983.629,112.64
1983.632,113.409
1983.634,113.348
1983.637,114.459
1983.640,114.214
1983.643,114.187
1983.645,114.355
1983.648,114.405
1983.651,114.281
1983.654,114.618
1983.656,114.946
1983.659,114.862
1983.662,113.746
1983.665,113.461
1983.667,113.465
1983.670,114.152
1983.673,113.792
1983.676,113.937
1983.678,114.084
1983.681,114.358
1983.684,114.74
1983.687,114.545
1983.689,113.766
1983.692,113.896
1983.695,113.754
1983.698,113.911
1983.700,114.007
1983.703,113.669
1983.706,113.604
1983.708,113.502
1983.711,114.017
1983.714,114.16
1983.717,113.959
1983.719,113.784
1983.722,114.116
1983.725,114.546
1983.728,114.301
1983.730,114.361
1983.733,114.025
1983.736,114.334
1983.739,114.533
1983.741,114.339
1983.744,114.375
1983.747,114.292
1983.749,114.303
1983.752,114.811
1983.755,115.213
1983.758,115.098
1983.760,114.596
1983.763,114.468
1983.766,114.692
1983.769,113.861
1983.771,113.156
1983.774,113.233
1983.777,113.832
1983.780,114.362
1983.782,114.704
1983.785,114.224
1983.788,114.184
1983.790,114.449
1983.793,114.605
1983.796,114.655
1983.799,114.167
1983.801,114.292
1983.804,114.297
1983.807,114.499
1983.810,114.23
1983.812,115.006
1983.815,115.017
1983.818,114.633
1983.821,114.233
1983.823,114.325
1983.826,114.482
1983.829,115.194
1983.832,115.664
1983.834,115.748
1983.837,115.243
1983.840,114.992
1983.843,114.523
1983.845,114.924
1983.848,114.862
1983.851,115.184
1983.854,114.535
1983.856,114.242
1983.859,114.461
1983.862,113.088
1983.865,113.424
1983.867,113.944
1983.870,114.553
1983.873,114.918
1983.875,115.252
1983.878,115.539
1983.881,115.096
1983.884,114.926
1983.886,115.41
1983.889,115.602
1983.892,115.951
1983.895,115.975
1983.897,116.14
1983.900,115.469
1983.903,115.627
1983.906,115.816
1983.908,115.86
1983.911,115.493
1983.914,115.231
1983.916,115.132
1983.919,115.275
1983.922,115.655
1983.925,116.086
1983.927,115.285
1983.930,114.921
1983.933,114.975
1983.936,115.024
1983.938,115.093
1983.941,114.295
1983.944,113.929
1983.947,113.699
1983.949,113.752
1983.952,114.252
1983.955,114.275
1983.957,114.03
1983.960,114.52
1983.963,114.879
1983.966,114.519
1983.968,114.862
1983.971,115.085
1983.974,115.571
1983.977,115.887
1983.979,115.863
1983.982,115.966
1983.985,116.068
1983.988,115.78
1983.990,115.713
1983.993,116.282
1983.996,115.832
1983.999,115.125
1984.001,117.258
1984.004,116.855
1984.007,116.51
1984.010,115.059
1984.012,114.705
1984.015,115.358
1984.018,116.293
1984.021,116.865
1984.023,117.326
1984.026,117.336
1984.029,117.148
1984.032,117.169
1984.034,117.038
1984.037,117.003
1984.040,116.97
1984.042,116.947
1984.045,117.234
1984.048,116.932
1984.051,117.587
1984.053,118.274
1984.056,117.858
1984.059,117.773
1984.062,117.905
1984.064,117.199
1984.067,116.976
1984.070,118.044
1984.073,118.219
1984.075,118.421
1984.078,117.746
1984.081,117.205
1984.084,117.671
1984.086,117.233
1984.089,116.889
1984.092,115.953
1984.095,116.389
1984.097,116.035
1984.100,115.878
1984.103,117.094
1984.108,117.477
1984.111,117.186
1984.114,117.3
1984.117,116.286
1984.119,116.169
1984.122,116.612
1984.125,116.56
1984.127,117.237
1984.130,117.0
1984.133,117.205
1984.136,116.853
1984.138,116.523
1984.141,116.264
1984.144,116.495
1984.147,116.432
1984.149,116.018
1984.152,116.048
1984.155,115.876
1984.158,114.799
1984.160,114.972
1984.163,114.867
1984.165,114.226
1984.168,113.962
1984.171,113.885
1984.174,114.7
1984.176,115.091
1984.179,115.282
1984.182,115.194
1984.185,115.388
1984.187,115.428
1984.190,115.618
1984.193,115.986
1984.196,116.166
1984.198,116.156
1984.201,115.747
1984.204,115.611
1984.206,116.096
1984.209,115.815
1984.212,116.343
1984.215,116.54
1984.217,115.918
1984.220,115.515
1984.223,114.814
1984.226,114.52
1984.228,113.885
1984.231,115.363
1984.234,115.679
1984.237,114.741
1984.239,114.31
1984.242,113.951
1984.245,114.322
